Feature,Importance,Input_Weight_Importance
BTN1A1,6.813919,6.813919
CSN1S1,6.4438257,6.4438257
CSN2,6.2962904,6.2962904
CNMD,6.1070166,6.1070166
C1S,6.0479984,6.0479984
SPDEF,6.003394,6.003394
SULT1C3,5.922246,5.922246
EN1,5.884433,5.884433
CHGB,5.862198,5.862198
ISLR,5.838318,5.838318
VIM,5.8170853,5.8170853
MRC2,5.813139,5.813139
COL11A2,5.7930765,5.7930765
ERRFI1,5.7839694,5.7839694
DUSP5,5.7812853,5.7812853
FSCN1,5.778159,5.778159
XBP1,5.748431,5.748431
S100A11,5.744106,5.744106
SCPEP1,5.7422333,5.7422333
PAPSS1,5.731812,5.731812
PAFAH1B3,5.728403,5.728403
AKR1B15,5.7267523,5.7267523
FOXA1,5.7241755,5.7241755
CAV1,5.7217064,5.7217064
CKM,5.721272,5.721272
NCAPD2,5.714327,5.714327
MT-CO1,5.712166,5.712166
GSN,5.706371,5.706371
HSD17B10,5.704629,5.704629
SERPINF1,5.694664,5.694664
FN1,5.686599,5.686599
RHOB,5.672441,5.672441
COPA,5.6621733,5.6621733
COL9A3,5.661066,5.661066
C6orf15,5.658122,5.658122
ELF5,5.643761,5.643761
COL3A1,5.6433606,5.6433606
CALU,5.642859,5.642859
RAMP3,5.6414986,5.6414986
FCRLB,5.63422,5.63422
FBLN2,5.6327157,5.6327157
RPL32,5.6289825,5.6289825
HID1,5.6280203,5.6280203
GATA3,5.626234,5.626234
ARHGDIA,5.6248426,5.6248426
SULF1,5.6248417,5.6248417
ZFP36L2,5.6248007,5.6248007
TAGLN,5.624634,5.624634
SERPINB5,5.6140575,5.6140575
CCL5,5.613151,5.613151
MRC1,5.6113257,5.6113257
KLHDC3,5.6102176,5.6102176
EID1,5.6043386,5.6043386
CBX1,5.603295,5.603295
CST3,5.6020746,5.6020746
MT-ND5,5.6020727,5.6020727
FAU,5.6011047,5.6011047
MYL6,5.6006107,5.6006107
RPL7,5.598064,5.598064
CCL21,5.5970297,5.5970297
ZFP36,5.5883355,5.5883355
MGP,5.583915,5.583915
LTF,5.583089,5.583089
C1R,5.582726,5.582726
CTSS,5.5826406,5.5826406
CIRBP,5.5821204,5.5821204
CCT3,5.5807343,5.5807343
COL1A1,5.576912,5.576912
EMILIN1,5.576022,5.576022
PLAU,5.571972,5.571972
COL12A1,5.568718,5.568718
ACTA2,5.567875,5.567875
MYL9,5.5667195,5.5667195
ELOVL5,5.5664983,5.5664983
OLFML3,5.563921,5.563921
EHF,5.5623765,5.5623765
FAM234B,5.5597653,5.5597653
AGTR1,5.555855,5.555855
INSM1,5.555683,5.555683
CHI3L1,5.553978,5.553978
PCOLCE,5.553605,5.553605
DAZAP2,5.5518484,5.5518484
ATP5F1E,5.55141,5.55141
HRCT1,5.5506163,5.5506163
PABPC1,5.54926,5.54926
CERS2,5.547846,5.547846
BST2,5.547017,5.547017
RARA,5.544623,5.544623
MLPH,5.5444627,5.5444627
LFNG,5.5438743,5.5438743
DSG2,5.5425916,5.5425916
UBE2C,5.542428,5.542428
MMP14,5.5422463,5.5422463
HLA-DPB1,5.5419626,5.5419626
RPL15,5.5400395,5.5400395
KRT16,5.5372257,5.5372257
PSMB5,5.5349607,5.5349607
MTDH,5.5324817,5.5324817
REEP6,5.5283365,5.5283365
IFIT3,5.5275755,5.5275755
ATP1A1,5.527044,5.527044
LGALS3,5.5265994,5.5265994
UGT2B28,5.525919,5.525919
BLVRA,5.525876,5.525876
APOC1,5.5256314,5.5256314
DSG3,5.525239,5.525239
CDK2AP1,5.5247145,5.5247145
OAS3,5.524478,5.524478
RSU1,5.522731,5.522731
TPX2,5.521854,5.521854
RHCG,5.520976,5.520976
COL4A1,5.519908,5.519908
MT-ND4L,5.5195904,5.5195904
SLC38A2,5.5188603,5.5188603
FADS2,5.518733,5.518733
POLR2L,5.517814,5.517814
RAB11B,5.5172577,5.5172577
RPL9,5.5171556,5.5171556
RPL13A,5.516013,5.516013
CRACR2B,5.5151725,5.5151725
HMGB2,5.5151453,5.5151453
IGSF8,5.5144787,5.5144787
ZNF689,5.5139456,5.5139456
RPL27A,5.5139227,5.5139227
JUND,5.5120373,5.5120373
PDIA6,5.5117254,5.5117254
KITLG,5.511112,5.511112
MFGE8,5.51052,5.51052
GABRP,5.508223,5.508223
MT-ATP8,5.505828,5.505828
SQLE,5.504986,5.504986
HIGD2A,5.5045757,5.5045757
ECHS1,5.504386,5.504386
SYNM,5.5042343,5.5042343
LSR,5.5036483,5.5036483
MAB21L4,5.5020876,5.5020876
RPS19,5.5018845,5.5018845
SDC1,5.501663,5.501663
MMP7,5.4972763,5.4972763
ZNF703,5.4968276,5.4968276
LUM,5.495986,5.495986
HNRNPAB,5.4954205,5.4954205
USP22,5.495207,5.495207
VPS72,5.4947095,5.4947095
FBP1,5.4936643,5.4936643
CPE,5.4929514,5.4929514
KCNN4,5.4926686,5.4926686
MARCKSL1,5.492564,5.492564
ALPL,5.4918547,5.4918547
BSG,5.4905047,5.4905047
TAT,5.4894166,5.4894166
MAPKAPK2,5.489031,5.489031
U2AF2,5.4876237,5.4876237
HLA-E,5.487431,5.487431
AHCY,5.486724,5.486724
RPL31,5.486167,5.486167
MPZ,5.4861555,5.4861555
HLA-DRB1,5.4854584,5.4854584
PPP1CA,5.4848413,5.4848413
COL5A2,5.4846253,5.4846253
CDC20,5.4844465,5.4844465
FDCSP,5.4819345,5.4819345
GLIPR2,5.4817705,5.4817705
TMEM54,5.4808044,5.4808044
MZT2B,5.4782586,5.4782586
IL13RA1,5.477523,5.477523
CASP14,5.4773045,5.4773045
TM4SF1,5.4771023,5.4771023
EIF4A2,5.4761753,5.4761753
CSTB,5.4744334,5.4744334
APOE,5.4744263,5.4744263
SPTSSA,5.473853,5.473853
FOXC1,5.4733124,5.4733124
ESRP1,5.4729147,5.4729147
SRP9,5.4690647,5.4690647
CYBA,5.4676194,5.4676194
TAPBP,5.4669185,5.4669185
PTN,5.4664636,5.4664636
SMOC2,5.4661226,5.4661226
CALB2,5.4660053,5.4660053
AGR2,5.4656477,5.4656477
SOX10,5.465433,5.465433
RPL24,5.463872,5.463872
IFITM2,5.4638405,5.4638405
ADIPOR1,5.463472,5.463472
ATRAID,5.463198,5.463198
CYP2A7,5.461281,5.461281
HMGN4,5.4601974,5.4601974
CAPG,5.459651,5.459651
MT1G,5.459381,5.459381
SDC4,5.4593163,5.4593163
SMIM14,5.459302,5.459302
SFRP4,5.4577637,5.4577637
NPC2,5.4572725,5.4572725
CHST1,5.4571614,5.4571614
NDUFS6,5.4569573,5.4569573
HLA-B,5.4569335,5.4569335
PSMB8,5.4562006,5.4562006
TACSTD2,5.4560394,5.4560394
FOSB,5.454341,5.454341
ISG15,5.452883,5.452883
STC1,5.4522276,5.4522276
CDK2AP2,5.4519873,5.4519873
AQP1,5.4497805,5.4497805
HTRA3,5.4497547,5.4497547
CRISPLD1,5.449195,5.449195
CALR,5.449064,5.449064
AEBP1,5.4464483,5.4464483
GET3,5.445772,5.445772
MT2A,5.445628,5.445628
IGFBP4,5.445512,5.445512
ENPP5,5.444373,5.444373
UCHL1,5.4437747,5.4437747
POMP,5.4428787,5.4428787
ACKR1,5.442774,5.442774
DDIT4,5.442557,5.442557
COPG1,5.441801,5.441801
SERPINH1,5.440773,5.440773
KLF5,5.440386,5.440386
KLK7,5.439878,5.439878
ANTXR1,5.4394417,5.4394417
IDH2,5.4388123,5.4388123
SLPI,5.438525,5.438525
SFRP2,5.4372363,5.4372363
TIMM13,5.4371557,5.4371557
IGFBP7,5.437022,5.437022
CD99,5.4364758,5.4364758
KRTDAP,5.4357758,5.4357758
STOML2,5.4356155,5.4356155
RNF5,5.4355917,5.4355917
NPM3,5.4344406,5.4344406
NDUFB11,5.434289,5.434289
PYCR1,5.4342318,5.4342318
SPARC,5.433926,5.433926
ATP6AP1,5.433668,5.433668
LAMTOR4,5.4332156,5.4332156
EGR1,5.4332085,5.4332085
TSPAN8,5.4327602,5.4327602
ID3,5.4313517,5.4313517
MLEC,5.431047,5.431047
CSRP1,5.431041,5.431041
BYSL,5.430596,5.430596
CAMK2N1,5.430482,5.430482
COX7A1,5.4298077,5.4298077
COL6A1,5.429263,5.429263
RAB25,5.428727,5.428727
NAT1,5.4282093,5.4282093
RPS27,5.428191,5.428191
MSLN,5.428129,5.428129
ACTN4,5.4278235,5.4278235
JUN,5.4269423,5.4269423
ELAPOR1,5.4269085,5.4269085
PERP,5.4267216,5.4267216
NCL,5.426201,5.426201
ACTG1,5.425557,5.425557
SCGN,5.4252405,5.4252405
AARD,5.424777,5.424777
RCC2,5.424396,5.424396
ELN,5.4240904,5.4240904
TAP1,5.423018,5.423018
MRPL51,5.421884,5.421884
LALBA,5.4203167,5.4203167
GOLPH3,5.420291,5.420291
AIF1L,5.4201756,5.4201756
TMSB4X,5.419882,5.419882
RPS8,5.419284,5.419284
KLK6,5.41868,5.41868
TSPAN1,5.4174547,5.4174547
SLC2A10,5.4169455,5.4169455
ZNF664,5.4160266,5.4160266
RARRES2,5.4152536,5.4152536
PPP1R14B,5.413968,5.413968
C1orf198,5.4138656,5.4138656
PRDX6,5.412719,5.412719
PLAAT4,5.4119473,5.4119473
MMP11,5.4116426,5.4116426
PDZK1,5.4107113,5.4107113
CSN3,5.4100885,5.4100885
SNRNP70,5.410021,5.410021
ITPRID2,5.4078636,5.4078636
G6PD,5.4071136,5.4071136
VCAN,5.4068003,5.4068003
DRAP1,5.4063587,5.4063587
TMED10,5.405795,5.405795
ARF5,5.4054976,5.4054976
LAPTM5,5.4047737,5.4047737
CXCL10,5.404604,5.404604
CAPN2,5.4044886,5.4044886
MT-ND4,5.403595,5.403595
RPS27A,5.4031663,5.4031663
PRDX4,5.402875,5.402875
RPL7A,5.4025793,5.4025793
TSTD1,5.4024763,5.4024763
DPYSL3,5.4017057,5.4017057
ACAN,5.4014955,5.4014955
EPHX1,5.401377,5.401377
ACKR3,5.400836,5.400836
HLA-DQA1,5.400824,5.400824
APOL1,5.4001985,5.4001985
SLC40A1,5.3982077,5.3982077
CNPY3,5.398137,5.398137
SERPING1,5.397646,5.397646
RPL5,5.3963633,5.3963633
CES1,5.395776,5.395776
PIP,5.3956146,5.3956146
ACTR2,5.395401,5.395401
CRISP3,5.3946366,5.3946366
HNRNPF,5.3928127,5.3928127
LRATD2,5.392783,5.392783
TSPAN13,5.392706,5.392706
PSMB3,5.3924594,5.3924594
TM9SF2,5.392193,5.392193
CYP4Z1,5.3918996,5.3918996
CPB1,5.3918285,5.3918285
TBC1D9,5.3915358,5.3915358
SAA1,5.3910756,5.3910756
LTB,5.389155,5.389155
CYBRD1,5.389118,5.389118
TRIR,5.388801,5.388801
TSPO,5.3887854,5.3887854
NPTX1,5.3885684,5.3885684
HMGCS2,5.3884697,5.3884697
FABP3,5.38793,5.38793
TOMM20,5.387526,5.387526
ARL6IP1,5.386976,5.386976
HSPD1,5.3868837,5.3868837
COL6A2,5.3866673,5.3866673
MUC1,5.3862443,5.3862443
NUCB2,5.3861456,5.3861456
APRT,5.3858204,5.3858204
TFF1,5.385546,5.385546
LRRC59,5.383152,5.383152
NTS,5.3831472,5.3831472
CAVIN1,5.3827963,5.3827963
CARTPT,5.3827667,5.3827667
S100A2,5.3826385,5.3826385
S100A10,5.3825645,5.3825645
FLNA,5.382331,5.382331
UGT2B11,5.381895,5.381895
CAPZA1,5.3812613,5.3812613
MUC5B,5.3811646,5.3811646
LAD1,5.3806562,5.3806562
CLCA2,5.379692,5.379692
SEC61B,5.37833,5.37833
PTP4A2,5.3781166,5.3781166
CANX,5.3774796,5.3774796
EIF3K,5.3760815,5.3760815
CD44,5.375026,5.375026
ELP2,5.373887,5.373887
NDUFC2,5.373482,5.373482
RBP1,5.3733935,5.3733935
ATN1,5.3733435,5.3733435
RPL29,5.373255,5.373255
CCT5,5.372931,5.372931
ERBB2,5.372898,5.372898
COL6A3,5.3721256,5.3721256
COL11A1,5.3719206,5.3719206
HCFC1R1,5.371648,5.371648
VAMP5,5.371199,5.371199
RGCC,5.3704643,5.3704643
HLA-DRB5,5.370367,5.370367
YWHAZ,5.370064,5.370064
TFDP1,5.3689756,5.3689756
RAMP2,5.3677387,5.3677387
MRPL47,5.3675823,5.3675823
SOD3,5.366721,5.366721
IGF1R,5.366646,5.366646
RET,5.3665276,5.3665276
GUK1,5.365667,5.365667
RAN,5.365465,5.365465
UBE2L6,5.365335,5.365335
MT-ATP6,5.365322,5.365322
YBX1,5.3651,5.3651
NFE2L1,5.3647366,5.3647366
IRF2BP2,5.3632174,5.3632174
MRPS21,5.362773,5.362773
COL2A1,5.362384,5.362384
TIMP2,5.3616543,5.3616543
SLITRK6,5.3612947,5.3612947
LMAN1,5.360192,5.360192
ALYREF,5.3601117,5.3601117
S100B,5.3597493,5.3597493
PRR15L,5.3587837,5.3587837
SARAF,5.3580985,5.3580985
ASAH1,5.3569927,5.3569927
CASD1,5.356688,5.356688
PTGES3,5.356536,5.356536
MFAP4,5.3557024,5.3557024
COTL1,5.355551,5.355551
CCN1,5.3551908,5.3551908
PDZK1IP1,5.354475,5.354475
CYP2A6,5.354409,5.354409
LGALS1,5.354194,5.354194
HLA-DMA,5.353961,5.353961
CHI3L2,5.353347,5.353347
TSPAN15,5.351966,5.351966
CTHRC1,5.351516,5.351516
CCT2,5.351465,5.351465
MRPS34,5.351305,5.351305
BEX1,5.350665,5.350665
EFNA1,5.3503356,5.3503356
PSME1,5.3497252,5.3497252
CNN3,5.3486195,5.3486195
PSME2,5.348592,5.348592
MMP2,5.3480773,5.3480773
GRB2,5.3477554,5.3477554
TMEM219,5.3477335,5.3477335
SLC25A1,5.347108,5.347108
PEBP1,5.347038,5.347038
CA2,5.346529,5.346529
TYROBP,5.3464823,5.3464823
CILP,5.3461146,5.3461146
OS9,5.3446646,5.3446646
BASP1,5.3442225,5.3442225
SERF2,5.343925,5.343925
HTRA1,5.3427534,5.3427534
RASD1,5.342603,5.342603
PSMD3,5.3421307,5.3421307
SRPRA,5.341774,5.341774
GTF3A,5.3416734,5.3416734
AHSA1,5.3415422,5.3415422
KIAA0040,5.339877,5.339877
JUP,5.3394036,5.3394036
CCN2,5.339307,5.339307
PHGDH,5.3385997,5.3385997
MUC2,5.33829,5.33829
ARF1,5.33797,5.33797
PFN2,5.3368554,5.3368554
PRSS23,5.3361797,5.3361797
CD52,5.3358517,5.3358517
LDHA,5.335847,5.335847
CD59,5.3357534,5.3357534
CPNE1,5.335597,5.335597
ACY3,5.335065,5.335065
YWHAB,5.3346443,5.3346443
COL10A1,5.334254,5.334254
VTCN1,5.3338737,5.3338737
S100A4,5.33387,5.33387
AHNAK,5.3334036,5.3334036
EIF4G1,5.3333206,5.3333206
MT-CO2,5.333214,5.333214
ASB13,5.332767,5.332767
TPD52,5.3308825,5.3308825
PTTG1IP,5.3304615,5.3304615
PSMB7,5.3302317,5.3302317
ACADSB,5.3301206,5.3301206
BRK1,5.3298388,5.3298388
MYDGF,5.3295307,5.3295307
GSTP1,5.328904,5.328904
CFD,5.3283014,5.3283014
SNCG,5.3282166,5.3282166
APEX1,5.328162,5.328162
CLTB,5.3278875,5.3278875
CD164,5.327692,5.327692
PSMC5,5.3276725,5.3276725
IL6ST,5.327504,5.327504
TIMM23,5.327434,5.327434
TGFBR2,5.3272076,5.3272076
GJB2,5.3270025,5.3270025
DDAH2,5.32638,5.32638
TFF3,5.326378,5.326378
MT-ND6,5.32587,5.32587
CLDN1,5.3253183,5.3253183
PRSS8,5.324834,5.324834
HSPH1,5.324504,5.324504
TK1,5.324489,5.324489
RPL11,5.3241663,5.3241663
ATP6V0E1,5.324088,5.324088
TMSB10,5.323634,5.323634
TUFM,5.3235493,5.3235493
ANXA1,5.3228264,5.3228264
EIF4B,5.3221245,5.3221245
ANO1,5.321912,5.321912
LMO4,5.320531,5.320531
RPLP1,5.320529,5.320529
LAMTOR2,5.320369,5.320369
CAPS,5.319492,5.319492
COMP,5.3194504,5.3194504
PKM,5.3186526,5.3186526
IRX3,5.3183136,5.3183136
PREX1,5.3180723,5.3180723
CA12,5.317376,5.317376
HEBP1,5.3167486,5.3167486
LYPD3,5.3164234,5.3164234
EEF1B2,5.3164186,5.3164186
SIAH2,5.316317,5.316317
ADAR,5.316191,5.316191
JCHAIN,5.3157797,5.3157797
APP,5.315756,5.315756
FH,5.3157005,5.3157005
ITGB5,5.315675,5.315675
DUSP23,5.315217,5.315217
EIF2S3,5.314992,5.314992
NOP53,5.3149548,5.3149548
PIGR,5.314781,5.314781
COX4I1,5.313561,5.313561
DEPP1,5.313411,5.313411
PHKG1,5.313278,5.313278
SRGN,5.3126974,5.3126974
NNMT,5.312566,5.312566
LMNA,5.3119736,5.3119736
NTN4,5.3111663,5.3111663
TYMP,5.3108974,5.3108974
PAM,5.3108654,5.3108654
HNRNPK,5.3100815,5.3100815
SH3BGRL,5.308789,5.308789
H3C10,5.307541,5.307541
B2M,5.3074656,5.3074656
SOCS3,5.306341,5.306341
S100A6,5.3060427,5.3060427
RBBP8,5.305937,5.305937
SYNGR2,5.3057384,5.3057384
CKB,5.30548,5.30548
ZFP36L1,5.305232,5.305232
ACTN1,5.3052278,5.3052278
RPS25,5.3050566,5.3050566
BMPR1B,5.305,5.305
DUSP1,5.3048244,5.3048244
UQCRC1,5.3042994,5.3042994
DDR1,5.304287,5.304287
GNB2,5.304261,5.304261
ALOX15B,5.303385,5.303385
CHGA,5.3032346,5.3032346
CHCHD10,5.302786,5.302786
NES,5.302661,5.302661
TP53INP1,5.302621,5.302621
NR4A1,5.3021474,5.3021474
SLC9A3R2,5.301799,5.301799
RPL28,5.301384,5.301384
KRT8,5.3013334,5.3013334
ANXA5,5.301133,5.301133
PDGFRB,5.3011255,5.3011255
SMR3A,5.300581,5.300581
AP2B1,5.300503,5.300503
GHITM,5.299632,5.299632
RPL14,5.2996006,5.2996006
VDAC1,5.2992315,5.2992315
CYP1B1,5.298896,5.298896
KRT17,5.2986393,5.2986393
RHOC,5.297616,5.297616
RGS2,5.2975664,5.2975664
KRT19,5.297459,5.297459
DHRS2,5.2974224,5.2974224
ATP5MC2,5.297351,5.297351
RPL23A,5.2970853,5.2970853
RPS20,5.2967176,5.2967176
CFL1,5.2963824,5.2963824
LAMP1,5.296273,5.296273
RAB11A,5.296235,5.296235
C1QC,5.295487,5.295487
SNRPC,5.2952976,5.2952976
PRDX1,5.294976,5.294976
CLDN7,5.294207,5.294207
ACP5,5.2940726,5.2940726
ACTL8,5.294066,5.294066
CHRDL2,5.2937837,5.2937837
ZNF146,5.293255,5.293255
KIAA1522,5.2930036,5.2930036
KLK14,5.2928715,5.2928715
EFEMP1,5.2924476,5.2924476
RPS11,5.291283,5.291283
PRDX5,5.2910333,5.2910333
TMBIM6,5.2908664,5.2908664
PDLIM1,5.290746,5.290746
FOS,5.2903624,5.2903624
GPRC5A,5.289453,5.289453
CRYAB,5.2893305,5.2893305
RHBDD2,5.288827,5.288827
CUTA,5.288555,5.288555
CCL19,5.2883434,5.2883434
TMEM123,5.2883134,5.2883134
ANXA7,5.288049,5.288049
GBP1,5.2877827,5.2877827
LCN2,5.2875776,5.2875776
CTNNA1,5.287449,5.287449
GOLPH3L,5.286433,5.286433
P4HB,5.286228,5.286228
DAP,5.2860546,5.2860546
ARMT1,5.2854853,5.2854853
ACTB,5.2853923,5.2853923
LAMC1,5.284256,5.284256
BIRC5,5.2840776,5.2840776
PRELP,5.2838407,5.2838407
TRAM1,5.283703,5.283703
SERINC2,5.283552,5.283552
SLC9A3R1,5.283391,5.283391
RPL36AL,5.28333,5.28333
MS4A7,5.2832155,5.2832155
AHCYL1,5.2823195,5.2823195
TXNIP,5.281986,5.281986
RPL21,5.281913,5.281913
ARF3,5.281849,5.281849
CPNE3,5.281584,5.281584
SLC25A5,5.281455,5.281455
ARL6IP5,5.2813535,5.2813535
NELL2,5.2812796,5.2812796
RPL10A,5.2808723,5.2808723
COA3,5.280834,5.280834
ANXA9,5.2807994,5.2807994
PTPN1,5.2806535,5.2806535
SNRPD2,5.280225,5.280225
RPSA,5.278988,5.278988
EPRS1,5.2786627,5.2786627
FSTL1,5.2775793,5.2775793
CREB3L1,5.2774124,5.2774124
WFDC2,5.2772675,5.2772675
IER2,5.27711,5.27711
CD74,5.2769365,5.2769365
POSTN,5.2768106,5.2768106
CXCL9,5.276662,5.276662
GADD45GIP1,5.276498,5.276498
MICOS13,5.2764454,5.2764454
HLA-DRA,5.276358,5.276358
SLC25A6,5.276142,5.276142
HAX1,5.2750607,5.2750607
CEACAM6,5.274969,5.274969
KDELR3,5.274671,5.274671
KLHDC7B,5.274,5.274
LURAP1L,5.2737036,5.2737036
IRAK1,5.273241,5.273241
PAPSS2,5.2732153,5.2732153
SCG2,5.2726445,5.2726445
SPARCL1,5.272207,5.272207
CDH1,5.2721653,5.2721653
LAMB3,5.2714925,5.2714925
FIS1,5.2705207,5.2705207
CTXN1,5.2702494,5.2702494
MSN,5.2696915,5.2696915
CEBPD,5.269174,5.269174
MT-CYB,5.2690797,5.2690797
TSC22D3,5.2689953,5.2689953
RHOV,5.2680345,5.2680345
S100A14,5.2673445,5.2673445
WIF1,5.2669168,5.2669168
SERBP1,5.2668653,5.2668653
CLDN3,5.2667317,5.2667317
SERPINI1,5.2667246,5.2667246
UBALD2,5.2666464,5.2666464
NQO1,5.26649,5.26649
FAM102A,5.264557,5.264557
MRPL54,5.2644205,5.2644205
RPL30,5.264248,5.264248
UAP1,5.264067,5.264067
PHB2,5.2629576,5.2629576
HDGF,5.2626143,5.2626143
MCCC2,5.262439,5.262439
CACNG4,5.2620926,5.2620926
CDC25B,5.2612877,5.2612877
PCSK1,5.2608194,5.2608194
SERINC3,5.260477,5.260477
IFI27,5.259695,5.259695
GPX3,5.259453,5.259453
RPS9,5.259433,5.259433
LYZ,5.2591343,5.2591343
KCNJ3,5.258651,5.258651
VAV3,5.258615,5.258615
RPS18,5.2583947,5.2583947
PEG10,5.2580347,5.2580347
C6orf62,5.2578974,5.2578974
CD9,5.257488,5.257488
LANCL2,5.2573514,5.2573514
RPL6,5.25716,5.25716
IDO1,5.2567797,5.2567797
TNFRSF12A,5.2561836,5.2561836
JPT1,5.255959,5.255959
TMEM47,5.255179,5.255179
LRRC15,5.2550535,5.2550535
MX1,5.254984,5.254984
VAMP8,5.254883,5.254883
MPC2,5.254815,5.254815
AMIGO2,5.2548075,5.2548075
TXN,5.254553,5.254553
ANP32B,5.254333,5.254333
PNMT,5.254179,5.254179
TMEM230,5.253963,5.253963
GRN,5.253688,5.253688
PPP2R5A,5.2529716,5.2529716
VPS28,5.252722,5.252722
SERINC1,5.2527046,5.2527046
VAT1,5.2526717,5.2526717
MYC,5.251425,5.251425
NDP,5.2504687,5.2504687
SELENOF,5.2498374,5.2498374
TNFAIP2,5.24972,5.24972
CIB1,5.2495747,5.2495747
ASS1,5.249112,5.249112
PI3,5.2489614,5.2489614
PKP1,5.2489576,5.2489576
ANPEP,5.2488155,5.2488155
TRAPPC6A,5.2487764,5.2487764
CXCL16,5.2486744,5.2486744
RPL35,5.24856,5.24856
KRT81,5.2483478,5.2483478
KRT15,5.248202,5.248202
HMGN3,5.248088,5.248088
STARD3,5.2476397,5.2476397
MED1,5.246748,5.246748
STRAP,5.246737,5.246737
MYH9,5.246311,5.246311
PRAME,5.246225,5.246225
WDR45B,5.2456913,5.2456913
IL32,5.245492,5.245492
CHPF,5.245172,5.245172
ZNF552,5.24504,5.24504
UQCRH,5.2448053,5.2448053
SHARPIN,5.244452,5.244452
GSTO1,5.2444487,5.2444487
CAPNS1,5.2442884,5.2442884
RPL27,5.2441425,5.2441425
CCDC117,5.244075,5.244075
RHOD,5.243847,5.243847
RPL41,5.2437296,5.2437296
SEC61A1,5.24343,5.24343
RPL13,5.2432737,5.2432737
CST4,5.2432547,5.2432547
LAPTM4A,5.2431126,5.2431126
EMP1,5.242783,5.242783
DGCR6L,5.2425356,5.2425356
