Feature,Importance,Input_Weight_Importance
MXRA8,5.1646953,5.1646953
CD14,5.1645947,5.1645947
STAT1,5.1642904,5.1642904
CENPX,5.1642637,5.1642637
RPS3A,5.1640077,5.1640077
FBN1,5.1638117,5.1638117
SOX4,5.1636047,5.1636047
PPT1,5.163399,5.163399
TFAP2C,5.1633606,5.1633606
BNIP3L,5.163293,5.163293
TNFRSF21,5.162885,5.162885
IFITM1,5.1626234,5.1626234
GRINA,5.1623588,5.1623588
PSMC4,5.1622343,5.1622343
RDH10,5.162227,5.162227
STC2,5.16218,5.16218
RPS6,5.161935,5.161935
GSTA1,5.161804,5.161804
LSM2,5.1615896,5.1615896
LASP1,5.1614428,5.1614428
ACLY,5.1614313,5.1614313
PTPRF,5.1613693,5.1613693
PUF60,5.1613607,5.1613607
COX6B1,5.161215,5.161215
RPS16,5.1608996,5.1608996
SHISA2,5.1606693,5.1606693
SERPINE1,5.160345,5.160345
GDF15,5.1602926,5.1602926
FRZB,5.160245,5.160245
ALB,5.1601562,5.1601562
PTMA,5.160125,5.160125
MUC6,5.1596565,5.1596565
FDFT1,5.1596394,5.1596394
COX7C,5.159582,5.159582
TMEM9,5.1591234,5.1591234
CD24,5.159,5.159
NOTCH3,5.1588764,5.1588764
NAXE,5.158539,5.158539
IBSP,5.1585016,5.1585016
CLSTN1,5.157763,5.157763
ELOVL1,5.1576877,5.1576877
HMOX1,5.1575594,5.1575594
EZR,5.15707,5.15707
SELENOM,5.15701,5.15701
PKN1,5.1569967,5.1569967
ATP5F1B,5.15689,5.15689
PLVAP,5.156869,5.156869
BHLHE40,5.156639,5.156639
CLIC4,5.156577,5.156577
COL5A1,5.156066,5.156066
OLFML2B,5.1559978,5.1559978
NFIX,5.1559515,5.1559515
IFI44,5.155295,5.155295
CBX3,5.154498,5.154498
CEBPB,5.154286,5.154286
CENPW,5.153547,5.153547
H2AZ1,5.153265,5.153265
PCNA,5.1528463,5.1528463
SNRPE,5.1525955,5.1525955
FGB,5.152041,5.152041
ENSA,5.1519885,5.1519885
CIAO2B,5.1507387,5.1507387
ATP5MD,5.1505895,5.1505895
FLOT1,5.150512,5.150512
MRPL37,5.150506,5.150506
SCGB2A2,5.150339,5.150339
ASPN,5.149166,5.149166
TXN2,5.1489706,5.1489706
AKR7A2,5.1487436,5.1487436
CDC37,5.1486692,5.1486692
SLC1A1,5.1482153,5.1482153
TMED9,5.147847,5.147847
KDELR1,5.1475196,5.1475196
CCT6A,5.147328,5.147328
FABP7,5.146783,5.146783
FCGR3A,5.1463757,5.1463757
CHMP5,5.1463284,5.1463284
UFC1,5.1460834,5.1460834
SCD,5.1460266,5.1460266
RAMP1,5.145931,5.145931
RPS7,5.1456575,5.1456575
SPRR2A,5.145447,5.145447
AIP,5.143956,5.143956
ATP5MC3,5.1439505,5.1439505
SURF4,5.143832,5.143832
FMO3,5.143588,5.143588
DNAJA1,5.1426916,5.1426916
CRABP1,5.14227,5.14227
C1QB,5.142004,5.142004
RPL12,5.1408086,5.1408086
XRCC5,5.140744,5.140744
SYT13,5.1406846,5.1406846
AREG,5.1391816,5.1391816
TMED2,5.1389256,5.1389256
SREBF1,5.1383834,5.1383834
MRPS18B,5.138028,5.138028
HSPA6,5.13731,5.13731
STAC2,5.136919,5.136919
C20orf85,5.1365013,5.1365013
CHCHD2,5.1361346,5.1361346
QDPR,5.1359873,5.1359873
ANXA6,5.13593,5.13593
MRPL55,5.1357484,5.1357484
YWHAQ,5.1357365,5.1357365
SHISA5,5.1353207,5.1353207
LSM4,5.135147,5.135147
TSKU,5.1347117,5.1347117
CXCL13,5.1345367,5.1345367
SPRR3,5.134471,5.134471
EDF1,5.1342835,5.1342835
S100P,5.133031,5.133031
H2BC12,5.132978,5.132978
S100A16,5.1327853,5.1327853
AQP5,5.132529,5.132529
CD177,5.13242,5.13242
IRX2,5.1323113,5.1323113
NPY1R,5.1322904,5.1322904
SESN3,5.1319304,5.1319304
CSDE1,5.1316466,5.1316466
TC2N,5.1316357,5.1316357
GANAB,5.131077,5.131077
OSTC,5.1310387,5.1310387
JPT2,5.1310334,5.1310334
KRT5,5.130341,5.130341
ZMAT2,5.130261,5.130261
RAD23B,5.1300335,5.1300335
MUC5AC,5.130009,5.130009
ATP5F1D,5.1296773,5.1296773
TMEM64,5.1296315,5.1296315
NCCRP1,5.1293397,5.1293397
GRB7,5.1289606,5.1289606
SMS,5.12858,5.12858
COL4A2,5.1279707,5.1279707
RPL23,5.127761,5.127761
WARS1,5.127659,5.127659
IER3,5.127566,5.127566
CALM2,5.12754,5.12754
RGS10,5.127165,5.127165
LY6E,5.1269393,5.1269393
MRPL15,5.12687,5.12687
AZIN1,5.126812,5.126812
ANP32E,5.126764,5.126764
BEX3,5.1259956,5.1259956
SRP14,5.125752,5.125752
LGALS3BP,5.125419,5.125419
MGST1,5.125192,5.125192
RPL4,5.1248145,5.1248145
DES,5.124662,5.124662
C1orf115,5.12366,5.12366
NDUFA8,5.123588,5.123588
ELOVL2,5.123103,5.123103
SPDYC,5.12307,5.12307
NFKBIA,5.1230326,5.1230326
TUBA1A,5.1229353,5.1229353
PROM2,5.1226635,5.1226635
SSR2,5.122649,5.122649
A2M,5.122617,5.122617
MAL2,5.1226025,5.1226025
GDI1,5.122199,5.122199
HOXB2,5.122032,5.122032
PPDPF,5.121754,5.121754
PPP2R1A,5.121091,5.121091
EEF2,5.120799,5.120799
